track_name,track_id,artist_name,artist_id,album_name,album_id,release_date,duration_ms,popularity,lyrics,matched_url
Mágica,3bgmVESioCphYp4vSZp8TX,Os Mutantes,5C0gCCG8N5Dh5dZytIgzLX,"""Mutantes""",63cmfLGQUMuPRwgllZmz6a,1969-01-01,277986,19,"Gira ciranda na palma da mão
Pé de roseira, levanta a poeira do chão
Gira a menina na palma da mão
Gira menina que um dia eu te ponho no chão
Abri o portão de ouro
Da máquina do tempo
Ouvi ciranda ao longe
A rodar
A rodar
Gira ciranda na palma da mão
Pé de roseira, levanta a poeira do chão
Gira a menina na palma da mão
Gira menina que um dia eu te ponho no chão
As caras giram rindo
Eu amo todas elas
Vestidos tão compridos
A rodar
A rodar
Gira ciranda na palma da mão
Pé de roseira levanta a poeira do chão
Gira a menina na palma da mão
A rodar
A rodar
A rodar
A rodar

Hey hey hey
Hey hey hey
Hey hey hey
Hey hey hey
Hey hey hey
Hey hey hey
Hey hey hey
Hey hey hey
Hey hey hey",https://genius.com/Os-mutantes-magica-lyrics
Rico Sem Dinheiro,0Zp2DzAhuk0JgzDEuWRsOt,Evinha,6cnJ8gP9R3JEh5mCCvOwz3,Cartão Postal,7lskQR32sv0sV9zwkdRkKN,1971-01-05,132172,40,"De cabeça erguida
Que a vida merece seu amor
Não se esqueça de ouvir seu irmão
Sua mão se estender a uma flor
Não se deixe levar por prazer
De nas coisas não ver seu valor
Não perdoe o viver por viver
E vai ver tudo mudar de cor
Por isso é que eu volto ao meu amor primeiro
Fiz de tudo pr'ele não morrer
Por isso é que eu sou rico sem dinheiro
E a lição que doa a quem doer
Pense, fale
De cabeça erguida
Que a vida merece seu amor
Não se esqueça de ouvir seu irmão
Sua mão se estender a uma flor
Não se deixe levar por prazer
De nas coisas não ver seu valor
Não perdoe o viver por viver
E vai ver tudo mudar de cor
Por isso é que eu volto ao meu amor primeiro
Fiz de tudo pr'ele não morrer
Por isso é que eu sou rico sem dinheiro
E a lição que doa a quem doer",https://genius.com/Evinha-rico-sem-dinheiro-lyrics
Que Loucura,6GLzxjoZwceg0dLkXyhTxe,"Rita Lee, Roberto De Carvalho","7dnT2FUXhjirperXaH22IJ, 4w4ll81d0dR8gz989jjko1",Babilônia,190wpSoMkzQjX1nMob0hk6,1978,189973,25,"
Eu nem me lembro direito
Como voltei pra casa
Quem guiou meu carro
Quem me abriu a porta
Se eu não entendia nada

Só sei que eu dormi de roupa e tudo
Nem mesmo tirei as botas
Quem me ajudou, quem apagou a luz
Alguém desligou a vitrola

Que loucura, que loucura
Como eu estava alto!
Que loucura, que loucura
Como eu estava alto!

Mas quem me protege de tudo
É esse meu anjo da guarda
Quando atravesso a rua
Quando escorrego da escada

Meus inimigos ocultos
Não sabem que estou muito bem guardado
Eles que se danem, eles que se cuidem
Se botaram mau olhado!

Que loucura, que loucura
Como eu estava alto!
Que loucura, que loucura
Como eu estava alto!


Que loucura, que loucura
Como eu estava alto!
Que loucura, que loucura
Como eu estava alto!
Que loucura, que loucura
Como eu estava alto!
Que loucura, que loucura
Como eu estava alto!
Que loucura, que loucura
Como eu estava alto!",https://genius.com/Rita-lee-que-loucura-lyrics
1964 II,4j4sbVU66JIruGIoFL9eOg,Ney Matogrosso,2SFIMUkCdZowbeisskDdhn,Água do Céu - Pássaro (1975),5J70PHvMTDzYlHVmI9EJJl,1975,263653,21,"Hay tantas otras cosas en el mundo;
Un instante cualquiera es más profundo
Y diverso que el mar. La vida es corta
Y aunque las horas son tan largas, una
Oscura maravilla nos acecha
La muerte, ese otro mar, esa otra flecha
Que nos libra del sol y de la luna
Y del amor. La dicha que me diste
Y me quitaste debe ser borrada;
Lo que era todo tiene que ser nada
Sólo que me queda el goce de estar triste
Esa vana costumbre que me inclina
Al Sur, a cierta puerta, a cierta esquina
Ya no seré feliz. Tal vez no importa
Hay tantas otras cosas en el mundo;
Ya no seré feliz. Tal vez no importa
Hay tantas otras cosas en el mundo;
Ya no seré feliz. Tal vez no importa
Hay tantas otras cosas en el mundo;
Ya no seré feliz
Ya no seré feliz
Ya no seré feliz",https://genius.com/Ney-matogrosso-1964-ii-lyrics
Flagra,0BhdLRHzJKgzCLS13ltjZL,"Rita Lee, Roberto De Carvalho","7dnT2FUXhjirperXaH22IJ, 4w4ll81d0dR8gz989jjko1",Flagra,7Kg78UnUGm88yN0T5S9N8s,1982,214093,52,"Chap-chap-chap-cha-rá
Chap-chap-cha-rá
Chap-chap-cha-rá

No escurinho do cinema
Chupando drops de anis
Longe de qualquer problema
Perto de um final feliz

Se a Deborah Kerr que o Gregory Peck
Não vou bancar o santinho
Minha garota é Mae West
Eu sou o Sheik Valentino

Mas de repente, o filme pifou
E a turma toda logo vaiou
Acenderam as luzes, cruzes!
Que flagra, que flagra, que flagra!

No escurinho do cinema
Chupando drops de anis
Longe de qualquer problema
Perto de um final feliz

Se a Deborah Kerr que o Gregory Peck
Não vou bancar o santinho
Minha garota é Mae West
Eu sou o Sheik Valentino

Mas de repente, o filme pifou
E a turma toda logo vaiou
Acenderam as luzes, cruzes!
Que flagra, que flagra, que flagra!",https://genius.com/Rita-lee-flagra-lyrics
Apesar de Você,2ZA0kk67dKL8E5UjEbA2rD,Chico Buarque,6tOsSffQQIXmK8TqsDck8t,Show de Bola 1970,3xFUi2xnA22uogSynPeoZE,1970,235466,30,"Hoje você é quem manda
Falou, tá falado
Não tem discussão, não
A minha gente hoje anda
Falando de lado e olhando pro chão, viu?

Você que inventou esse Estado
Inventou de inventar
Toda escuridão
Você que inventou o pecado
Esqueceu-se de inventar o perdão

Apesar de você amanhã há de ser outro dia
Eu pergunto a você
Onde vai se esconder da enorme euforia?
Como vai proibir
Quando o galo insistir em cantar?
Água nova brotando
E a gente se amando sem parar

Quando chegar o momento, esse meu sofrimento
Vou cobrar com juros, juro
Todo esse amor reprimido, esse grito contido
Este samba no escuro

Você que inventou a tristeza
Ora, tenha a fineza de ""desinventar""
Você vai pagar, e é dobrado
Cada lágrima rolada
Nesse meu penar

Apesar de você amanhã há de ser outro dia
'Inda pago pra ver o jardim florescer
Qual você não queria
Você vai se amargar
Vendo o dia raiar sem lhe pedir licença
E eu vou morrer de rir
Que esse dia há de vir antes do que você pensa
Apesar de você

Apesar de você amanhã há de ser outro dia
Você vai ter que ver a manhã renascer
E esbanjar poesia
Como vai se explicar vendo o céu clarear
De repente, impunemente?
Como vai abafar
Nosso coro a cantar na sua frente?
Apesar de você

Apesar de você
Amanhã há de ser outro dia
Você vai se dar mal, etcetera e tal
La, laiá, la laiá, la laiá
La, laiá, la laiá, la laiá
La, laiá, la laiá, la laiá
La, laiá, la laiá, la laiá

Apesar de você
Apesar de você...",https://genius.com/Chico-buarque-apesar-de-voce-lyrics
Prisioneira Do Amor,1oA5k9je23fXm3sHlPYDEl,Rita Lee,7dnT2FUXhjirperXaH22IJ,Build Up,0pR1MJzQpndwio4YDWNvcF,1970-01-01,141173,23,"Um, dois, três
Cafonas fueron los besos que me diste
Cafona tus presentes, tu amor
E para afastar-te da lembrança
Eu vou assistir mais televisão
Cafona fui eu por escravizar-me
E a todos teus caprichos me render
Cafona permaneço mais que nunca
Pois continuo doida a te querer
El abat-jour
Los discos de bolero son tan tristes
Na natureza morta que me destes
O abacaxi parece que tem vida
Mi corazón
Sangrando de tristeza e de saudade
Se tu não voltares me suicido
Pois sem ti não há felicidade
Cafonas fueron los besos que me diste
Cafona tus presentes, tu amor
E para afastar-te da lembrança
Eu vou assistir mais televisão

Cafona fui eu por escravizar-me
E a todos teus caprichos me render
Cafona permaneço mais que nunca
Pois continuo doida a te querer
El abat-jour
Los discos de bolero son tan tristes
Na natureza morta que me destes
O abacaxi parece que tem vida
Mi corazón
Sangrando de tristeza e de saudade
Se tu não voltares me suicido
Pois sem ti não há felicidade",https://genius.com/Rita-lee-prisioneira-do-amor-lyrics
Sampa,004NGhQMHeUVK4YNUbQLPA,Caetano Veloso,7HGNYPmbDrMkylWqeFCOIQ,Caetano Veloso Instrumental,4l2CTXRNjNXW7lFov6I8oP,1978,187080,0,"Alguma coisa acontece no meu coração
Que só quando cruza a Ipiranga e a Avenida São João
É que quando eu cheguei por aqui eu nada entendi
Da dura poesia concreta de tuas esquinas
Da deselegância discreta de tuas meninas
Ainda não havia para mim Rita Lee, a tua mais completa tradução
Alguma coisa acontece no meu coração
Que só quando cruza a Ipiranga e a Avenida São João
Quando eu te encarei frente a frente não vi o meu rosto
Chamei de mau gosto o que vi
De mau gosto, mau gosto
É que Narciso acha feio o que não é espelho
E a mente apavora o que ainda não é mesmo velho
Nada do que não era antes quando não somos mutantes
E foste um difícil começo
Afasto o que não conheço
E quem vem de outro sonho feliz de cidade
Aprende depressa a chamar-te de realidade
Porque és o avesso do avesso do avesso do avesso
Do povo oprimido nas filas, nas vilas, favelas
Da força da grana que ergue e destrói coisas belas
Da feia fumaça que sobe apagando as estrelas
Eu vejo surgir teus poetas de campos e espaços
Tuas oficinas de florestas, teus deuses da chuva

Panaméricas de Áfricas utópicas, túmulo do samba
Mas possível novo quilombo de Zumbi
E os novos baianos passeiam na tua garoa
E novos baianos te podem curtir numa boa",https://genius.com/Caetano-veloso-sampa-lyrics
O Que Foi Feito Devera De Vera,5QwyEKH5FaYd6WyhHSv4JK,"Elis Regina, Milton Nascimento","0yFvXd36g5sNKYDi0Kkvl8, 3Bnq7jiU506HcPjRgQ43TM",Clube Da Esquina 2,4mywaTqTdSJUikLyiVqjjX,1978-01-02,293466,28,"De tudo que a gente sonhou?
O que foi feito da vida?
O que foi do amor?
Quisera encontrar
Aquele verso menino que escrevi
Há tantos anos atrás
Falo assim sem saudade
Falo assim por saber
Se muito vale o já feito
Mais vale o que será
E o que foi feito é preciso conhecer
Para melhor prosseguir
Falo assim sem tristeza
Falo por acreditar
Que é cobrando o que fomos
Que nós iremos crescer
Outros outubros virão
Outras manhãs plenas de sol e de luz",https://genius.com/Elis-regina-o-que-foi-feito-devera-de-vera-lyrics
Baila Comigo,0dED0PRBM0fixceBz5s4XR,"Rita Lee, Roberto De Carvalho","7dnT2FUXhjirperXaH22IJ, 4w4ll81d0dR8gz989jjko1",Rita Lee,77whDq0J0bYLftDVMKAlK7,1980-05-05,330866,57,"Se Deus quiser
Um dia eu quero ser índio
Viver pelado, pintado de verde
Num eterno domingo
Ser um bicho preguiça
Espantar turista
E tomar banho de sol
Banho de sol
Banho de sol
Sol

Se Deus quiser
Um dia acabo voando
Tão banal, assim como um pardal
Meio de contrabando
Desviar do estilingue
Deixar que me xinguem
E tomar banho de sol
Banho de sol
Banho de sol
Banho de sol

Baila comigo
Como se baila na tribo
Baila comigo
Lá no meu esconderijo
Ai, ai, ai!
Baila comigo (Ah, mmm)
Como se baila na tribo
(Oh, oh, oh)
Baila, ba-ba-baila comigo
Lá no meu esconderijo

Se Deus quiser
Um dia eu viro semente
E quando a chuva molhar o jardim
Ah, eu fico contente
E na primavera
Vou brotar na terra
E tomar banho de sol
Banho de sol
Banho de sol
Sol

Se Deus quiser
Um dia eu morro bem velha
Na hora H, quando a bomba estourar
Quero ver da janela
E entrar no pacote
De-de camarote
E tomar banho de sol
Banho de sol
Banho de sol
Banho de sol

Baila comigo
Como se baila na tribo (Uh!)
Baila, ba-ba-baila comigo
Lá no meu esconderijo
Ai, ai, oh
Baila comigo
Como se baila na tribo
Baila, ba-ba-baila comigo
Lá no meu esconderijo
Ai, ai, ai

Sol, Sol, Sol

E tomar banho de sol
Banho de sol
Banho de sol
Banho de sol, ha!

Baila comigo, he!
Como se baila na tribo
Baila, baila comigo
Lá no meu esconderijo
Ai, ai, ai, ai, ai, ai!
Baila comigo
Como se baila na tribo
Baila, ba-baila comigo
Lá no meu esconderijo
Ai, ai, ai corazón!
Baila comigo
Como se baila na tribo (Te lo juro)
Baila, ba-baila comigo
Lá no meu esconderijo
Ai, ai, ai!

Ai, yo quiero un besito del Nelson
Ai, el Nelson
Ai, el Nelson
Acércate más, e vamos a bailar
Lá no meu esconderijo
Ai, ai, ai!",https://genius.com/Rita-lee-baila-comigo-lyrics
